Id?empleado;Name;Apellido;birth_date;género;area;salary;star_date;finish_date;promotion_date;type
23-6187033;Adolph;Middiff;6/19/1971;mujer;Sales;$ 109,39;4/23/2018;2024-04-15 16:46:37 UTC;;0
23-6238468;Berti;Segar;1/14/1983;hombre;Services;$ 160,05;12/14/2006;2021-05-28 09:58:20 UTC;;0
23-6242001;Kip;Unwins;10/24/1966;hombre;Business Development;$ 148,13;9/15/2014;;;1
23-6277097;Fleurette;Curnokk;11/17/1997;mujer;Engineering;$ 118,91;12/30/2016;2022-05-24 23:26:38 UTC;;1
23-6301604;Deana;Molloy;6/2/1970;mujer;Engineering;$ 175,57;10/8/2018;;;0
23-6337610;Orran;Tackes;3/10/1994;hombre;Engineering;$ 160,78;1/11/2014;2027-10-03 11:26:25 UTC;;1
23-6373814;Hillie;Overstone;6/22/1999;hombre;Engineering;$ 90,90;11/19/2003;2021-10-04 19:13:21 UTC;;1
23-6550434;Mata;Haliburton;5/17/1966;hombre;Accounting;$ 132,51;6/24/2019;;;1
23-6589325;Babs;Hewes;12/30/1967;hombre;Accounting;$ 65,10;11/30/2009;;;0
23-6599365;Harrietta;O'Kennavain;10/19/1993;hombre;Engineering;$ 167,10;1/30/2012;2015-09-18 09:33:15 UTC;;1
23-6650486;Brigitta;Heenan;10/10/1989;mujer;Accounting;$ 100,19;11/12/2009;;;0
23-6663586;Yevette;Heustace;6/14/1987;mujer;Engineering;$ 112,86;6/3/2015;;;0
23-6700594;Charlean;Dunstan;11/9/1991;mujer;Training;$ 155,47;12/26/2014;;;0
23-6704948;Collen;Stean;5/21/1987;hombre;Sales;$ 184,41;11/13/2017;;;1
23-6724961;Brear;Yapp;12/10/2000;mujer;Research and Development;$ 132,44;9/3/2016;;;0
23-6740372;Marcelia;Winckworth;2/22/1970;hombre;Services;$ 164,96;6/24/2008;;;1
23-6752826;Lotty;Revening;7/12/1976;hombre;Engineering;$ 175,17;6/24/2004;;;0
23-6756157;Bidget;Corriea;8/31/2000;hombre;Product Management;$ 171,88;1/23/2002;;;1
23-6778782;Randene;Smallacombe;5/11/1995;mujer;Engineering;$ 179,33;3/29/2018;;;1
23-6801292;Somerset;Foottit;11/11/1969;mujer;Services;$ 151,82;7/29/2009;;;1
23-6812839;Killian;Spicer;4/9/1976;hombre;Business Development;$ 120,45;9/8/2011;;;0
23-6878685;Sacha;Siddell;7/13/1968;hombre;Business Development;$ 170,96;1/3/2009;;;1
23-6931158;Jessa;Rapaport;12/9/1965;hombre;Engineering;$ 113,04;5/18/2015;;;1
23-6940461;Raphael;Goudie;5/4/1987;hombre;Support;$ 111,75;1/29/2003;;;1
23-6983109;Wilt;Lambdean;2/8/1981;hombre;Engineering;$ 132,33;1/13/2018;;;1
23-6995703;Clarice;Lyster;6/21/1997;hombre;Engineering;$ 155,54;2/11/2007;;;1
23-6999442;Stearne;O'Scandall;6/28/1999;hombre;Support;$ 95,45;5/22/2004;2025-02-28 10:07:56 UTC;;1
23-7052758;Teressa;Daniellot;10/4/1997;hombre;Services;$ 179,72;11/15/2020;;;0
23-7076830;Chucho;Colerick;10/4/1989;mujer;Research and Development;$ 146,97;6/18/2008;;;1
23-7126020;Klarika;Picot;9/29/1979;hombre;Sales;$ 90,73;5/12/2005;;;1
23-7238446;Pren;Eriksson;7/3/1982;mujer;Engineering;$ 165,13;10/5/2018;2026-10-19 15:39:37 UTC;;1
23-7314623;Benedicto;Wrankling;9/3/1999;mujer;Accounting;$ 82,54;6/21/2018;;;0
23-7324594;Tracy;German;2/9/1976;hombre;Engineering;$ 72,99;4/2/2012;;;1
23-7327568;Keven;Mullaney;11/24/1969;mujer;Engineering;$ 158,93;9/6/2001;2003-04-26 11:05:57 UTC;;0
23-7374910;Clarke;Morten;5/24/2001;mujer;Human Resources;$ 137,73;10/15/2010;;;0
23-7376567;Ofilia;Drowsfield;10/26/1994;hombre;Support;$ 130,69;4/15/2017;;;1
23-7432415;Gerri;Strongman;5/26/1972;mujer;Engineering;$ 110,42;9/17/2006;;;1
23-7463271;Fianna;Beven;3/10/1998;mujer;Business Development;$ 151,94;4/3/2013;2015-07-26 10:25:44 UTC;;1
23-7469416;Klaus;Cotsford;12/27/1997;mujer;Sales;$ 89,55;11/25/2013;;;0
23-7480842;Abagael;Adamkiewicz;5/6/1986;mujer;Services;$ 79,47;10/30/2007;;October 30, 2022;1
23-7531484;Ravid;Greenshiels;7/22/1971;hombre;Services;$ 67,14;3/27/2020;;;0
23-7577501;Mariquilla;Rubanenko;6/20/1972;mujer;Product Management;$ 176,28;3/26/2020;;;0
23-7843691;Jay;Caulket;2/27/1993;mujer;Sales;$ 103,63;10/31/2019;;;1
23-7908752;Garvey;Merill;9/11/1967;hombre;Training;$ 112,73;10/22/2001;;;0
23-7909808;Christian;Claire;12/16/1980;mujer;Engineering;$ 67,16;3/11/2002;;;1
23-7977140;Libby;Caldeiro;9/26/1982;mujer;Product Management;$ 108,96;12/27/2015;;;1
23-8001776;Jessie;Wordsworth;9/18/1982;mujer;Legal;$ 145,16;11/12/2005;;;1
23-8044002;Gerri;Morrad;5/7/1969;hombre;Engineering;$ 71,32;1/28/2009;;;0
23-8051252;Felike;Hazeup;9/16/1982;hombre;Training;$ 124,17;7/27/2005;;;0
23-8070760;Shandra;York;8/30/1989;hombre;Accounting;$ 118,15;1/1/2006;2010-08-09 01:54:55 UTC;;1
23-8331806;Brinna;Beet;9/23/1967;mujer;Engineering;$ 150,49;8/25/2008;2018-08-08 23:47:35 UTC;;1
23-8419174;Ludwig;Knowlton;9/13/1985;hombre;Sales;$ 79,47;8/31/2004;;;0
23-8456149;Brandon;Grimm;1/23/1980;mujer;Engineering;$ 181,96;5/16/2015;;;1
23-8488778;Krissie;Casajuana;6/17/1978;mujer;Support;$ 140,96;5/28/2011;;;1
23-8707383;Charmaine;Counter;8/16/1982;hombre;Research and Development;$ 67,04;10/25/2002;;;0
23-8760649;Britt;Bottrell;3/29/1969;hombre;Engineering;$ 111,29;1/7/2016;;;1
23-8816511;Archibold;Ridhole;12/31/1977;hombre;Engineering;$ 150,67;5/1/2008;;;1
23-8825496;Celine;Goodsell;12/19/2000;hombre;Services;$ 141,69;12/11/2016;;;1
23-8889492;Aeriela;Frantzeni;2/1/1975;hombre;Training;$ 136,52;10/3/2008;;;1
23-8918246;Cassie;Syratt;5/24/1994;hombre;Legal;$ 127,11;7/19/2015;;;0
23-8924343;Clarette;Finch;12/1/1988;hombre;Engineering;$ 138,11;3/3/2015;;;0
23-8933694;Valdemar;Denerley;12/28/1976;hombre;Support;$ 107,27;1/18/2017;;;1
23-8950690;Crawford;Steels;7/20/1974;hombre;Engineering;$ 132,81;4/28/2016;;;1
23-9010492;Malynda;Carlton;11/5/1968;mujer;Accounting;$ 82,50;3/25/2001;;;0
23-9126437;Hestia;Orneblow;6/22/1987;hombre;Human Resources;$ 94,80;4/6/2002;;;0
23-9189296;Heath;Drew-Clifton;8/15/1997;hombre;Business Development;$ 146,93;7/12/2017;;;0
23-9228193;Tonnie;Anyene;5/30/1994;mujer;Research and Development;$ 113,29;6/22/2008;2012-07-09 03:09:29 UTC;;1
23-9298188;Ruggiero;Newstead;10/9/1985;hombre;Accounting;$ 76,78;10/20/2014;;;0
23-9321499;Fulton;Benford;6/13/1992;hombre;Business Development;$ 180,75;5/11/2009;;;0
23-9383331;Kelli;Satchel;6/15/1999;hombre;Legal;$ 140,28;5/27/2002;;;1
23-9446619;Stevena;Haversum;8/13/1967;mujer;Business Development;$ 130,20;7/7/2007;;;1
23-9462117;Roseanne;Hollidge;8/22/1977;hombre;Research and Development;$ 106,83;5/21/2011;;;0
23-9527296;Casey;Liggons;2/21/1999;mujer;Engineering;$ 173,86;12/3/2016;;;1
23-9558992;Adolphe;Bruffell;7/20/1988;mujer;Support;$ 125,60;8/12/2010;;;0
23-9614231;Mitchel;Lyles;7/10/1999;mujer;Engineering;$ 143,67;9/21/2017;;;0
23-9648585;Ambrosius;Caff;6/3/1997;mujer;Accounting;$ 105,26;12/14/2001;2014-05-04 22:41:48 UTC;;0
23-9704127;Debbi;Code;1/6/1989;hombre;Business Development;$ 181,71;7/25/2007;;;1
23-9781926;Fredrick;Edmeades;5/10/1987;mujer;Engineering;$ 181,41;10/19/2004;;;1
23-9809250;Jermayne;Pyser;10/16/1982;mujer;Training;$ 141,30;9/7/2009;;;1
23-9834617;Kippar;McAtamney;5/1/1970;mujer;Services;$ 108,85;7/30/2010;;;1
23-9835972;Wakefield;Heady;8/14/1989;mujer;Business Development;$ 137,81;1/14/2009;;;0
23-9951194;Skylar;Bleackley;4/24/1995;mujer;Support;$ 150,97;4/23/2010;2026-06-04 05:47:28 UTC;;0
24-0033230;Ardeen;Joy;3/30/1983;hombre;Sales;$ 177,05;9/7/2019;;;1
24-0127347;Archer;Rothschild;7/25/1999;mujer;Human Resources;$ 135,75;11/28/2008;;;1
24-0158216;Appolonia;Scourge;7/28/1972;hombre;Sales;$ 65,80;5/23/2009;;;1
24-0217201;Sileas;Bowhey;7/26/2002;hombre;Product Management;$ 153,30;12/14/2000;;;1
24-0219858;Neill;Cleugher;11/28/1968;hombre;Engineering;$ 128,37;12/29/2015;;;0
24-0263575;Jammie;Bresland;10/15/1976;mujer;Human Resources;$ 178,36;3/10/2020;;;0
24-0268241;Leland;Brame;5/21/1968;mujer;Human Resources;$ 149,83;5/13/2012;;;0
24-0296230;Lydie;Sellors;1/30/2001;hombre;Support;$ 144,91;3/24/2004;;;1
24-0302901;Nanni;Dinis;4/18/1970;mujer;Sales;$ 98,07;1/28/2001;2018-12-11 15:30:30 UTC;;0
24-0305249;Norby;Hupe;8/18/1967;mujer;Accounting;$ 87,22;5/26/2015;;;1
24-0443388;Rochester;Brattan;11/2/1997;hombre;Accounting;$ 153,90;4/10/2016;;;0
24-0454023;Celeste;Grissett;5/28/1974;mujer;Services;$ 67,47;12/24/2016;2018-08-05 21:19:00 UTC;;1
24-0633299;Harriot;Renols;12/30/1968;hombre;Human Resources;$ 184,68;3/8/2008;;;1
24-0708004;Kermit;Peris;4/12/1979;hombre;Sales;$ 88,54;9/3/2013;;;1
24-0734988;Kristan;Pendlebery;2/21/1999;mujer;Engineering;$ 164,17;5/30/2010;;;0
24-0775280;Fayette;Joinsey;7/30/1975;mujer;Engineering;$ 120,25;6/8/2003;;;0
24-0790981;Marlie;Sail;2/6/1975;hombre;Services;$ 92,17;7/6/2016;;;1
24-0794110;Jarvis;Lasseter;8/21/2001;mujer;Engineering;$ 108,22;1/1/2016;;;0
24-0824981;Loretta;Loxston;1/7/1981;mujer;Engineering;$ 158,42;11/26/2006;;;1
24-0869036;Mirna;Sikorski;4/27/1986;mujer;Engineering;$ 159,47;12/18/2011;;;0
24-0970850;Elaine;Sidery;8/27/1990;hombre;Human Resources;$ 122,24;10/13/2004;;;1
24-1028607;Carlin;Longley;7/27/1969;hombre;Engineering;$ 123,93;3/12/2018;;;1
24-1034608;Sancho;Raeburn;10/20/1992;mujer;Training;$ 112,75;5/6/2019;;;0
24-1133859;Hadrian;Dalziell;10/3/1996;mujer;Accounting;$ 176,22;7/23/2007;;;0
24-1177260;Darius;Fish;11/1/1970;mujer;Engineering;$ 151,41;5/24/2007;2015-11-14 17:54:47 UTC;;1
24-1234102;Nevile;Sanchez;2/21/1995;hombre;Marketing;$ 148,74;12/26/2010;;;1
24-1249801;Kerk;Winear;12/6/1981;hombre;Engineering;$ 132,38;2/22/2004;;;0
24-1297986;Lexine;Elcy;9/22/1999;hombre;Business Development;$ 154,59;4/8/2011;2019-06-15 19:36:55 UTC;;1
24-1320915;Moyna;Mulvihill;1/12/1982;hombre;Training;$ 129,03;4/7/2015;;;1
24-1344144;Shurlocke;Bradder;5/28/1994;hombre;Accounting;$ 154,25;6/23/2002;;;1
24-1347262;Carmella;Kleinber;9/24/1988;hombre;Training;$ 141,87;2/10/2017;;;0
24-1426131;Agathe;Paulley;2/6/1988;mujer;Training;$ 137,92;11/7/2007;;;0
24-1479306;Nikolas;Arnaudin;11/14/1971;hombre;Engineering;$ 132,24;1/31/2005;;;1
24-1530419;Kris;Blampied;9/10/1992;hombre;Accounting;$ 123,19;8/31/2014;;;1
24-1595880;Robenia;Budget;11/23/1998;hombre;Training;$ 164,20;1/30/2006;;;0
24-1622602;Stu;Tidy;1/9/1988;hombre;Engineering;$ 72,32;10/12/2009;;;0
24-1684782;Gardener;Tue;2/7/1970;hombre;Accounting;$ 152,38;11/15/2001;2019-10-05 01:44:34 UTC;;1
24-1699592;Dan;Lawie;2/26/1996;hombre;Marketing;$ 154,39;5/13/2013;;;1
24-1845451;Sharon;Climie;7/26/1997;hombre;Product Management;$ 87,99;4/23/2001;2008-03-17 01:51:18 UTC;;0
24-1878295;Gustaf;Lawrinson;5/11/1967;mujer;Accounting;$ 177,51;2/6/2007;2020-03-09 10:26:38 UTC;;0
24-1912051;Sharai;Penzer;4/2/1989;mujer;Services;$ 180,96;1/10/2019;;;0
24-2020630;Nell;Wickett;6/27/1985;hombre;Business Development;$ 169,36;2/20/2004;;;1
24-2040887;Christen;Kelbie;6/10/1999;mujer;Accounting;$ 164,17;4/23/2008;2011-06-17 16:45:27 UTC;;1
24-2065801;Siouxie;Stoker;1/27/1981;hombre;Accounting;$ 161,91;1/19/2002;;;0
24-2152690;Matias;Amar;7/16/1986;hombre;Sales;$ 145,38;12/17/2016;2018-07-27 07:05:01 UTC;;1
24-2248215;Carri;Humphris;2/27/1969;hombre;Accounting;$ 123,45;8/13/2004;;;0
24-2254460;Carita;Jeremaes;6/8/1981;hombre;Engineering;$ 135,88;8/31/2003;;;1
24-2259766;Susi;Bowich;12/24/1986;hombre;Engineering;$ 78,66;2/8/2014;;;0
24-2333702;Sergio;Nitto;10/28/1983;hombre;Training;$ 126,67;2/14/2018;;;0
24-2429114;Vickie;Brugman;10/26/1980;mujer;Accounting;$ 156,29;1/13/2007;2007-08-28 21:50:06 UTC;;1
24-2458210;Alex;Allaker;11/30/1970;hombre;Engineering;$ 123,62;3/23/2008;;;0
24-2475969;Karleen;Stockell;10/1/1992;hombre;Accounting;$ 123,26;5/17/2015;;;0
24-2522984;Mufi;Weedall;5/10/1989;hombre;Training;$ 89,81;7/21/2014;;;1
24-2530480;Amy;MacDermot;12/17/1970;mujer;Services;$ 73,68;12/29/2019;;;0
24-2619287;Wendie;Ropert;9/2/1997;hombre;Engineering;$ 72,64;6/9/2018;;;0
24-2631222;Shelby;Tout;3/3/1986;hombre;Research and Development;$ 158,99;10/17/2013;;;0
24-2639148;Cassie;MacCarter;8/6/1969;mujer;Engineering;$ 66,59;8/1/2020;;;1
24-2656293;Ban;Lilleycrop;9/22/1984;hombre;Human Resources;$ 100,74;6/10/2006;;;1
24-2674754;Rebecca;Walliker;4/22/1993;hombre;Accounting;$ 71,17;12/7/2015;;;1
24-2793419;Ursola;Scutcheon;11/11/1988;hombre;Sales;$ 83,33;11/29/2013;;;1
24-2816817;Batsheva;Vint;3/9/1969;hombre;Engineering;$ 157,12;11/21/2002;2006-12-20 21:22:41 UTC;;1
24-2820585;Felipe;Hofer;10/23/1985;mujer;Sales;$ 110,81;3/3/2012;;;0
24-2873433;Karly;Streetley;10/20/1991;hombre;Accounting;$ 102,44;7/6/2014;;;0
24-2882920;Calhoun;Groll;8/6/1971;hombre;Sales;$ 154,55;6/27/2020;;;1
24-2908082;Thekla;Dearnaley;4/9/1975;mujer;Research and Development;$ 119,61;3/1/2007;;;0
24-2930270;Hector;Adicot;6/6/1993;hombre;Marketing;$ 145,16;11/7/2007;;;1
24-2938767;Rodger;Smallcomb;9/7/1984;hombre;Engineering;$ 99,75;2/26/2006;;;1
24-2954574;Burlie;Udie;8/15/1978;hombre;Marketing;$ 67,53;2/16/2001;;;1
24-2961260;Sharl;Hullin;10/31/1981;mujer;Services;$ 99,31;5/25/2020;;;0
24-2967763;Ermin;Sneller;1/27/1981;hombre;Human Resources;$ 71,33;11/23/2012;;;1
24-2976235;Gerardo;Fitkin;8/20/1973;hombre;Engineering;$ 66,33;2/6/2011;;;0
24-3016260;Henderson;Warlaw;3/8/1968;hombre;Services;$ 175,78;1/10/2006;2020-08-05 20:17:00 UTC;;0
24-3070608;Faunie;Cutridge;6/19/1993;mujer;Research and Development;$ 146,12;5/19/2013;;;1
24-3219975;Demeter;Meikle;2/12/1985;hombre;Support;$ 139,39;9/22/2017;;;0
24-3286815;Elaina;Mackerel;4/25/1985;hombre;Sales;$ 182,81;9/29/2020;2022-11-19 10:06:44 UTC;;1
24-3341086;Mollee;Grouvel;6/8/1975;mujer;Sales;$ 132,32;4/19/2012;;;1
24-3354652;Isis;Godwin;10/5/1986;hombre;Services;$ 134,70;7/3/2018;;;0
24-3371834;Anstice;Sabatini;9/10/1972;hombre;Marketing;$ 150,39;8/20/2006;;;0
24-3389501;Kalila;Simkovitz;11/12/1967;hombre;Engineering;$ 114,69;4/20/2016;;;0
24-3400361;Nil;Babe;4/30/1972;hombre;Research and Development;$ 119,68;2/28/2011;;;1
24-3409333;Hilary;Pady;7/1/1987;hombre;Business Development;$ 79,39;8/15/2020;;;0
24-3619358;Dan;Bertram;5/3/1991;mujer;Services;$ 147,63;11/8/2005;;;0
24-3683553;Aldis;Marcus;4/20/1972;hombre;Research and Development;$ 113,33;4/15/2003;;;0
24-3720800;Pepi;Shakelade;9/7/2002;mujer;Research and Development;$ 67,80;12/11/2018;;;1
24-3727428;Kala;Ible;9/2/1989;hombre;Research and Development;$ 158,09;9/26/2008;;;0
24-3882838;Spense;Guillem;12/4/1971;hombre;Product Management;$ 133,44;6/14/2016;;;0
24-3996731;Doralin;Cason;7/21/1966;hombre;Sales;$ 180,73;2/1/2007;2008-11-13 12:54:04 UTC;;0
24-4043147;Gaylor;Loudyan;1/31/1997;mujer;Sales;$ 135,30;5/19/2020;;;0
24-4098526;Jeffie;Skelhorn;6/12/1975;hombre;Engineering;$ 164,45;11/17/2007;;;1
24-4113969;Jacquette;Buckam;11/16/1987;mujer;Engineering;$ 107,20;9/11/2002;2017-10-05 17:24:58 UTC;;1
24-4123848;Sue;Sante;2/28/1974;hombre;Accounting;$ 94,88;1/26/2015;2015-11-19 16:19:16 UTC;;0
24-4134920;Charlotta;Golly;10/4/1982;mujer;Human Resources;$ 149,21;6/9/2008;;;0
24-4224663;Faina;Jeannequin;1/30/1984;hombre;Accounting;$ 134,06;12/23/2002;;;1
24-4260230;Isaac;Mattussevich;9/18/1980;mujer;Services;$ 85,11;5/20/2015;2032-01-25 01:27:47 UTC;;1
24-4309769;Roxana;O'Grada;5/29/1981;hombre;Engineering;$ 175,53;8/27/2013;;;0
24-4346074;Tiphanie;Huson;5/30/1970;hombre;Business Development;$ 77,60;6/11/2008;;;0
24-4368179;Lock;Oehme;9/15/1980;mujer;Services;$ 92,11;3/15/2010;;;1
24-4414441;Chandler;Stadding;10/24/1985;mujer;Engineering;$ 120,77;2/13/2017;2032-06-25 06:29:55 UTC;;1
24-4417203;Guglielma;Harvett;3/19/1966;mujer;Engineering;$ 91,36;9/5/2012;;;0
24-4465997;Dominique;Venus;10/26/1968;hombre;Sales;$ 167,46;7/10/2018;;;0
24-4511492;Bondy;Minkin;11/16/1981;hombre;Engineering;$ 86,92;6/6/2002;2023-01-01 10:42:19 UTC;;1
24-4530937;Candis;Fendlen;1/25/1994;mujer;Engineering;$ 107,14;9/26/2010;;;0
24-4552517;Willdon;Steward;3/22/1999;hombre;Services;$ 89,88;12/17/2014;;;0
24-4571351;Madelle;Borzoni;5/26/1972;hombre;Engineering;$ 143,79;10/9/2014;;;0
24-4571899;Ilario;Trevon;7/24/1985;hombre;Services;$ 73,20;9/28/2007;;;1
24-4620477;Savina;Edlestone;5/31/1969;mujer;Training;$ 131,55;9/9/2006;;;1
24-4790124;Marris;Darell;9/6/1972;mujer;Engineering;$ 86,49;8/12/2004;2009-07-08 06:06:09 UTC;;1
24-4890709;Randolf;Rawlingson;4/2/1990;mujer;Accounting;$ 76,06;6/16/2011;;;0
24-4915191;Christoper;Pargent;2/5/1994;hombre;Sales;$ 123,64;4/11/2001;;;0
24-5050929;Annette;Keir;1/12/1981;mujer;Engineering;$ 140,30;5/6/2004;;;1
24-5065804;Connie;Ickeringill;3/14/1988;mujer;Services;$ 159,64;2/6/2014;;;0
24-5170758;Franny;Dalley;12/13/1982;hombre;Accounting;$ 102,57;1/31/2020;;;1
24-5244705;Amble;Durtnal;3/2/1994;hombre;Legal;$ 167,69;7/20/2011;;;0
24-5517243;Dag;Carlill;5/23/1980;hombre;Engineering;$ 131,15;1/19/2017;;;0
24-5555444;Monique;Brinsden;2/13/1999;hombre;Engineering;$ 146,52;6/6/2019;2022-02-11 03:48:01 UTC;;0
24-5560325;Vincent;Tunniclisse;7/26/1967;mujer;Engineering;$ 152,69;5/27/2003;;;1
24-5589812;Logan;Mauvin;4/12/1986;mujer;Engineering;$ 117,32;9/5/2013;2022-12-13 05:19:30 UTC;;1
24-5619385;Sallyanne;Figger;3/13/1986;hombre;Sales;$ 154,24;4/21/2006;;;0
24-5627378;Michaeline;Pennells;7/13/1991;mujer;Engineering;$ 166,99;10/24/2019;;;1
24-5650572;Cathe;Lorentzen;5/17/1967;mujer;Engineering;$ 169,76;6/26/2012;;;1
24-5659754;Kendal;Gulliman;11/29/1968;hombre;Research and Development;$ 140,31;12/14/2005;;;0
24-5668387;Odell;Dinsell;12/27/1987;mujer;Accounting;$ 154,46;8/4/2002;;;0
24-5765193;Loraine;Dziwisz;10/25/1983;mujer;Accounting;$ 161,38;5/24/2004;;;0
24-5828490;Vinita;O'Noulane;5/23/1968;mujer;Product Management;$ 118,50;6/14/2012;2030-11-08 15:02:32 UTC;;1
24-5832490;Koo;Hursthouse;2/17/1978;hombre;Accounting;$ 184,04;4/22/2020;;;0
24-5912913;Nickey;Bikker;2/5/1975;mujer;Human Resources;$ 135,07;5/8/2006;;;1
24-5942416;My;Kindell;7/19/1999;hombre;Services;$ 97,07;6/1/2014;;;1
24-6005443;Ondrea;Easthope;11/13/1992;mujer;Human Resources;$ 145,42;7/4/2015;2025-06-16 18:55:57 UTC;;0
24-6069931;Wilbert;Hulke;10/24/1975;hombre;Research and Development;$ 177,95;6/25/2016;;;1
24-6086252;Lilia;Lowdyane;8/1/1974;mujer;Engineering;$ 104,92;7/4/2020;;;1
24-6112382;Charlena;Mirfin;5/18/1986;mujer;Business Development;$ 147,17;2/8/2018;;;0
24-6299640;Alli;Quemby;2/9/1982;hombre;Business Development;$ 167,63;11/12/2007;;;0
24-6362649;Ker;Brownell;2/10/1969;mujer;Support;$ 184,64;2/25/2010;;;1
24-6365695;Jordan;Lyburn;12/20/1970;hombre;Accounting;$ 159,46;9/30/2012;;;1
24-6437091;Lian;Ceney;4/18/1981;mujer;Marketing;$ 183,67;5/23/2001;;;1
24-6437946;Wildon;Battle;4/19/1989;hombre;Human Resources;$ 172,29;11/6/2014;2017-02-11 05:47:40 UTC;;0
24-6449922;Myrvyn;Snow;12/15/1991;mujer;Services;$ 180,85;3/2/2010;;;0
24-6457699;Jareb;Boulger;7/18/1996;mujer;Engineering;$ 96,17;12/24/2011;;;0
24-6464015;Westley;Winslet;4/22/1971;hombre;Engineering;$ 87,19;12/20/2001;;;0
24-6495635;Darbee;Philipps;11/9/1976;hombre;Product Management;$ 162,84;5/4/2009;;;1
24-6767979;Egan;Kroin;12/15/1986;mujer;Accounting;$ 181,06;10/1/2018;;;0
24-6795939;Gawain;Runnicles;6/9/1993;mujer;Human Resources;$ 146,75;10/2/2017;;;0
24-6800711;Lucinda;Gorini;11/17/2000;hombre;Sales;$ 158,44;4/19/2016;;;1
24-6803277;Vonni;Gibbon;1/29/1974;hombre;Business Development;$ 143,18;1/1/2013;;;1
24-6863234;Lothaire;McCole;7/1/1989;hombre;Business Development;$ 134,56;10/23/2012;2020-12-22 12:09:40 UTC;;0
24-6892416;Anet;Barnsdall;12/23/2000;mujer;Engineering;$ 150,21;3/22/2009;;;1
24-6945032;Octavius;Mathelin;4/7/1979;hombre;Sales;$ 115,40;6/11/2009;;;0
24-6967917;Gallagher;Durno;12/12/1977;hombre;Services;$ 143,89;9/15/2001;;;1
24-6968162;Bud;Davidovich;2/6/2001;hombre;Engineering;$ 136,54;4/2/2015;;;0
24-7180396;Teddie;Fielden;9/19/1968;hombre;Engineering;$ 175,06;12/5/2009;;;1
24-7197809;Darryl;Forkan;2/5/1999;hombre;Training;$ 116,55;1/26/2008;;;1
24-7304951;Kristel;Van der Velden;3/5/2001;mujer;Engineering;$ 175,80;7/5/2007;;;1
24-7335770;Marissa;Mattia;9/25/1995;hombre;Human Resources;$ 167,86;5/22/2016;;;1
24-7364548;Nolan;Elsdon;10/29/1965;hombre;Human Resources;$ 176,34;6/16/2020;;;1
24-7370139;Harp;Litchmore;9/11/1972;mujer;Training;$ 79,28;4/21/2013;;;1
24-7383772;Hyman;Flew;8/25/1977;hombre;Engineering;$ 137,45;10/8/2018;2023-02-09 20:04:01 UTC;;0
24-7414366;Starlene;Bowden;11/26/1988;hombre;Engineering;$ 82,09;6/9/2007;;;1
24-7532810;Cristobal;Vamplew;8/16/1988;mujer;Legal;$ 135,95;7/17/2007;;;0
24-7569256;Ameline;Joselevitch;1/5/2000;mujer;Sales;$ 139,84;1/21/2014;;;0
24-7608169;Butch;Garey;1/16/1996;mujer;Engineering;$ 69,16;10/9/2002;;;1
24-7656829;Kinnie;Hatherleigh;8/2/1991;hombre;Human Resources;$ 79,53;7/8/2005;;;0
24-7678442;Buiron;Newall;4/2/1973;mujer;Research and Development;$ 83,00;4/9/2004;;;1
24-7741652;Fielding;O'Fairy;1/15/1981;hombre;Engineering;$ 145,85;4/6/2015;2022-10-15 00:08:24 UTC;;1
24-7963773;Lebbie;McConway;3/3/1989;hombre;Engineering;$ 87,20;5/3/2004;2014-01-23 06:33:04 UTC;;1
24-8046011;Case;Tearle;1/8/1996;hombre;Engineering;$ 76,37;11/15/2002;;;1
24-8122845;Lock;Le Fevre;12/20/1988;hombre;Business Development;$ 76,00;8/23/2016;;;1
24-8150660;Patten;Benmore;3/2/1985;hombre;Training;$ 104,39;4/20/2020;;;0
24-8238175;Yankee;Ballston;7/25/1991;mujer;Sales;$ 150,00;3/31/2003;;;0
24-8274446;Genvieve;Wemyss;10/1/1977;mujer;Human Resources;$ 176,96;8/30/2005;;;0
24-8399695;Axel;Kendle;1/21/1969;mujer;Business Development;$ 173,55;3/7/2014;;;0
24-8439558;Vittoria;MacDermid;3/13/1971;hombre;Engineering;$ 138,61;1/15/2011;;;1
24-8500237;Cortney;Rhule;10/20/1994;hombre;Engineering;$ 129,90;3/12/2015;;;0
24-8526567;Joshia;Corstan;11/18/1999;mujer;Engineering;$ 127,87;9/14/2010;;;1
24-8598075;Doug;Alliband;8/11/1997;mujer;Accounting;$ 126,58;2/20/2019;;;1
24-8634077;Richy;Vaughn;4/20/1972;hombre;Training;$ 96,97;3/8/2017;2017-12-16 22:03:27 UTC;;0
24-8687779;Sebastien;Denis;7/14/1980;hombre;Human Resources;$ 135,39;12/6/2006;;;1
24-8696979;Lavena;Senussi;11/20/1984;hombre;Marketing;$ 180,47;10/28/2002;;;1
24-8891809;Janos;Scrimshire;6/18/1974;hombre;Engineering;$ 153,76;9/3/2019;;;0
24-8925367;Carolyn;Pym;8/20/2001;mujer;Sales;$ 112,54;9/3/2011;;;0
24-8991904;Kippy;Praton;4/23/1984;mujer;Accounting;$ 75,51;5/6/2020;;;0
24-9006807;Norman;Simants;5/7/1969;mujer;Accounting;$ 123,24;8/20/2020;2031-12-15 17:41:51 UTC;;0
24-9067778;Art;Barriball;4/12/1986;hombre;Engineering;$ 79,14;8/4/2020;;;0
